epoch,loss,weight,bias,weight_grad,bias_grad
1.620000000000000000e+02,1.436329446732997894e-03,1.999999761581420898e+00,9.621011614799499512e-01,-4.686415195465087891e-06,-7.579787820577621460e-02
1.630000000000000000e+02,1.379442401230335236e-03,1.999999761581420898e+00,9.628591537475585938e-01,-4.597008228302001953e-06,-7.428169250488281250e-02
1.640000000000000000e+02,1.324812881648540497e-03,1.999999761581420898e+00,9.636019468307495117e-01,-4.611909389495849609e-06,-7.279595732688903809e-02
1.650000000000000000e+02,1.272363122552633286e-03,1.999999761581420898e+00,9.643298983573913574e-01,-4.680827260017395020e-06,-7.134039700031280518e-02
1.660000000000000000e+02,1.221978105604648590e-03,1.999999761581420898e+00,9.650433063507080078e-01,-4.506669938564300537e-06,-6.991361081600189209e-02
1.670000000000000000e+02,1.173582160845398903e-03,1.999999761581420898e+00,9.657424688339233398e-01,-4.963949322700500488e-06,-6.851517409086227417e-02
1.680000000000000000e+02,1.127097872085869312e-03,1.999999761581420898e+00,9.664276242256164551e-01,-4.511326551437377930e-06,-6.714455783367156982e-02
1.690000000000000000e+02,1.082466216757893562e-03,1.999999761581420898e+00,9.670990705490112305e-01,-4.618428647518157959e-06,-6.580170989036560059e-02
1.700000000000000000e+02,1.039599301293492317e-03,1.999999761581420898e+00,9.677571058273315430e-01,-4.618428647518157959e-06,-6.448563933372497559e-02
1.710000000000000000e+02,9.984390344470739365e-04,1.999999761581420898e+00,9.684019684791564941e-01,-4.597008228302001953e-06,-6.319616734981536865e-02
1.720000000000000000e+02,9.588891407474875450e-04,1.999999761581420898e+00,9.690339565277099609e-01,-4.683621227741241455e-06,-6.193187087774276733e-02
1.730000000000000000e+02,9.209298877976834774e-04,1.999999761581420898e+00,9.696532487869262695e-01,-4.575587809085845947e-06,-6.069365516304969788e-02
1.740000000000000000e+02,8.844510884955525398e-04,1.999999761581420898e+00,9.702602028846740723e-01,-4.244968295097351074e-06,-5.947944521903991699e-02
1.750000000000000000e+02,8.494374924339354038e-04,1.999999761581420898e+00,9.708549976348876953e-01,-4.508532583713531494e-06,-5.829022452235221863e-02
1.760000000000000000e+02,8.157995762303471565e-04,1.999999761581420898e+00,9.714378714561462402e-01,-4.940666258335113525e-06,-5.712440982460975647e-02
1.770000000000000000e+02,7.834934513084590435e-04,1.999999761581420898e+00,9.720091223716735840e-01,-4.942528903484344482e-06,-5.598190799355506897e-02
1.780000000000000000e+02,7.524678367190063000e-04,1.999999761581420898e+00,9.725689291954040527e-01,-4.939734935760498047e-06,-5.486229434609413147e-02
1.790000000000000000e+02,7.226654561236500740e-04,1.999999761581420898e+00,9.731175303459167480e-01,-4.337169229984283447e-06,-5.376487970352172852e-02
1.800000000000000000e+02,6.940543535165488720e-04,1.999999761581420898e+00,9.736551642417907715e-01,-4.945322871208190918e-06,-5.268982425332069397e-02
1.810000000000000000e+02,6.665627588517963886e-04,1.999999761581420898e+00,9.741820693016052246e-01,-4.597008228302001953e-06,-5.163574963808059692e-02
1.820000000000000000e+02,6.401725113391876221e-04,1.999999761581420898e+00,9.746984243392944336e-01,-4.962086677551269531e-06,-5.060325935482978821e-02
1.830000000000000000e+02,6.148184766061604023e-04,1.999999761581420898e+00,9.752044677734375000e-01,-4.597008228302001953e-06,-4.959106445312500000e-02
1.840000000000000000e+02,5.904716672375798225e-04,1.999999761581420898e+00,9.757003784179687500e-01,-4.597008228302001953e-06,-4.859924316406250000e-02
1.850000000000000000e+02,5.670852260664105415e-04,1.999999761581420898e+00,9.761863946914672852e-01,-4.227273166179656982e-06,-4.762710630893707275e-02
1.860000000000000000e+02,5.446323193609714508e-04,1.999999761581420898e+00,9.766626954078674316e-01,-4.597008228302001953e-06,-4.667471721768379211e-02
